Code,Name,Currency,Market Cap,Price, Change,Change %
FEVR,FEVERTREE DRINKS PLC ORD 0.25P,GBX,"1,100.46",951,-1,-0.11%
FIH,FIH GROUP PLC ORD 10P,GBX,30.92,247,-,-
FIN,FINSETA PLC ORD 1P,GBX,8.34,14.25,0.25,1.79%
FIPP,FRONTIER IP GROUP PLC ORD 10P,GBX,8.89,11.75,-,-
FKE,FISKE PLC ORD 25P,GBX,8.16,69,-,-
FLO,FLOWTECH FLUIDPOWER PLC ORD 5P,GBX,46.34,59,2.1,3.69%
FMET,FULCRUM METALS PLC ORD 1P,GBX,15.21,11.25,0.25,2.27%
FNTL,FINTEL PLC ORD GBP0.01,GBX,237.56,226,-2,-0.88%
FNX,FONIX PLC ORD 0.1P,GBX,168.97,173.5,3,1.76%
FOG,FALCON OIL & GAS LTD. COM SHS NPV (DI),GBX,157.5,13.9,-0.3,-2.11%
FOX,FOCUS XPLORE PLC ORD GBP0.0001,GBX,0.96,0.03,-,-
FPO,FIRST PROPERTY GROUP PLC ORD 1P,GBX,24.76,16.75,-,-
FRAN,FRANCHISE BRANDS PLC ORD 0.5P,GBX,251.92,130,-,-
FRG,FIRERING STRATEGIC MINERALS PLC ORD EUR0.001 (DI),GBX,4.89,1.3,0.08,6.12%
FRP,FRP ADVISORY GROUP PLC ORD 0.1P,GBX,332.97,127,-1.5,-1.17%
FTC,FILTRONIC PLC ORD 0.1P,GBX,442.08,199,-2,-1.00%
FUM,FUTURA MEDICAL PLC ORD 0.2P,GBX,7.32,1.25,-0.01,-0.79%
G4M,GEAR4MUSIC (HOLDINGS) PLC ORD 10P,GBX,59.99,286,-,-
GAL,GALANTAS GOLD CORPORATION COM SHS NPV,GBX,98.66,22,0.5,2.33%
GATC,GATTACA PLC ORD 1P,GBX,38.29,121.5,-,-
GCM,GCM RESOURCES PLC ORD 1P,GBX,32.22,8.45,-0.3,-3.43%
GDP,GOLDPLAT PLC ORD 1P,GBX,20.92,12.5,0.25,2.04%
GDR,GENEDRIVE PLC ORD 0.015P,GBX,11.44,1.03,-0.03,-2.38%
GELN,GELION PLC ORD 0.1P,GBX,41.87,18.25,-,-
GEM,GEMFIELDS GROUP LD ORD USD0.00001,GBX,90.52,5.25,-,-
GENI,GENINCODE PLC ORD 1P,GBX,7.91,1.05,-,-
GEO,GEO EXPLORATION LIMITED ORD NPV,GBX,7.18,0.12,-0.01,-4.08%
GETB,GETBUSY PLC ORD 0.15P,GBX,37.26,73.5,-,-
GFIN,GFINITY PLC ORD 0.01P,GBX,1.59,0.03,0,9.84%
GFM,GRIFFIN MINING LD ORD $0.01,GBX,578.33,335,7.5,2.29%
GGP,GREATLAND RESOURCES LIMITED ORD NPV (DI),GBX,"4,560.96",709.8,32,4.72%
GHH,GOOCH & HOUSEGO PLC ORD 20P,GBX,205.28,758,8,1.07%
GLR,GALILEO RESOURCES PLC ORD 0.1P,GBX,11.05,0.85,0.05,6.25%
GMET,GUARDIAN METAL RESOURCES PLC ORD 1P,GBX,342.52,204,1,0.49%
GMR,GAMING REALMS PLC ORD GBP0.001,GBX,89.35,31.6,0.1,0.32%
GNIP,GENIP PLC ORD GBP0.00425,GBX,2.15,10.5,-,-
GRL,GOLDSTONE RESOURCES LD ORD 1P,GBX,10.94,0.85,0.03,3.03%
