Code,Name,Currency,Market Cap (m),Price,Change,Change %
VSVS,VESUVIUS PLC ORD 10P,GBX,"1,216.54",485.4,-4.8,-0.98%
VTY,VISTRY GROUP PLC ORD 50P,GBX,"2,284.98",717.6,1.6,0.22%
WEIR,WEIR GROUP PLC ORD 12.5P,GBX,"9,003.35","3,472.00",4,0.12%
WIX,WICKES GROUP PLC ORD GBP0.10,GBX,573.59,248.5,2,0.81%
WIZZ,WIZZ AIR HOLDINGS PLC. ORD GBP0.0001,GBX,"1,365.39","1,308.00",-12,-0.91%
WKP,WORKSPACE GROUP PLC ORD GBP1,GBX,808.68,420,-0.5,-0.12%
WOSG,WATCHES OF SWITZERLAND GROUP PLC ORD GBP0.0125,GBX,"1,180.51",518,12,2.37%
WPP,WPP PLC ORD 10P,GBX,"2,993.68",277.2,-0.3,-0.11%
WTB,WHITBREAD PLC ORD 76 122/153P,GBX,"4,584.67","2,695.00",-35,-1.28%
WWH,WORLDWIDE HEALTHCARE TRUST PLC ORD 2.5P,GBX,"1,362.53",357.5,-,-
XAR,XAAR PLC ORD 10P,GBX,96.98,121.5,-,-
XPP,XP POWER LD ORD 1P (DI),GBX,387.4,"1,380.00",-2,-0.15%
XPS,XPS PENSIONS GROUP PLC ORD GBP0.0005,GBX,656.32,313.5,-1.5,-0.48%
ZIG,ZIGUP PLC ORD 50P,GBX,914.21,398.5,-1,-0.25%
ZTF,ZOTEFOAMS PLC ORD 5P,GBX,207.82,422,-,-
